Period (s),CommandedVelocity (mm/s),PositionError (mm),CommandedPosition (mm),CommandedAcceleration (mm/s2)
0.205312,4.685652,-0.000160,11.943725,-123.196514
0.205824,4.619308,-0.000095,11.946110,-136.002200
0.206336,4.546408,-0.000030,11.948455,-148.807885
0.206848,4.466955,0.000020,11.950765,-161.584467
0.207360,4.380949,0.000090,11.953030,-174.390152
0.207872,4.288390,0.000165,11.955250,-187.195837
0.208384,4.189278,0.000270,11.957420,-199.681381
0.208896,4.087041,0.000315,11.959540,-199.681381
0.209408,3.984806,0.000375,11.961605,-199.681381
0.209920,3.882569,0.000450,11.963620,-199.681381
0.210432,3.780334,0.000520,11.965580,-199.681381
0.210944,3.678097,0.000560,11.967490,-199.681381
0.211456,3.575861,0.000635,11.969345,-199.681381
0.211968,3.473625,0.000645,11.971150,-199.681381
0.212480,3.371389,0.000670,11.972905,-199.681381
0.212992,3.269152,0.000705,11.974605,-199.681381
0.213504,3.166915,0.000715,11.976250,-199.681381
0.214016,3.064680,0.000720,11.977845,-199.681381
0.214528,2.962443,0.000700,11.979390,-199.681381
0.215040,2.860208,0.000665,11.980880,-199.681381
0.215552,2.757971,0.000600,11.982320,-199.681381
0.216064,2.655736,0.000565,11.983705,-199.681381
0.216576,2.553499,0.000530,11.985035,-199.681381
0.217088,2.451263,0.000490,11.986320,-199.681381
0.217600,2.349027,0.000445,11.987545,-199.681381
0.218112,2.246791,0.000400,11.988725,-199.681381
0.218624,2.144554,0.000365,11.989850,-199.681381
0.219136,2.042319,0.000320,11.990920,-199.681381
0.219648,1.940082,0.000285,11.991940,-199.681381
0.220160,1.837847,0.000250,11.992905,-199.681381
0.220672,1.735610,0.000245,11.993820,-199.681381
0.221184,1.633374,0.000210,11.994685,-199.681381
0.221696,1.531138,0.000185,11.995495,-199.681381
0.222208,1.428901,0.000180,11.996250,-199.681381
0.222720,1.326665,0.000165,11.996955,-199.681381
0.223232,1.224428,0.000145,11.997610,-199.681381
0.223744,1.122193,0.000130,11.998210,-199.681381
0.224256,1.019956,0.000100,11.998760,-199.681381
0.224768,0.917721,0.000085,11.999255,-199.681381
0.225280,0.815484,0.000065,11.999700,-199.681381
0.225792,0.715470,0.000055,12.000090,-189.145794
0.226304,0.621907,0.000040,12.000435,-176.340109
0.226816,0.534900,0.000035,12.000730,-163.563527
0.227328,0.454444,0.000040,12.000980,-150.757842
0.227840,0.380543,0.000035,12.001195,-137.952156
0.228352,0.313194,0.000025,12.001370,-125.146471
0.228864,0.252400,0.000030,12.001515,-112.340786
0.229376,0.198160,0.000020,12.001630,-99.564204
0.229888,0.150472,0.000010,12.001720,-86.758519
0.230400,0.109339,-0.000010,12.001785,-73.952833
0.230912,0.074759,-0.000025,12.001835,-61.147148
0.231424,0.046733,-0.000045,12.001865,-48.341462
0.231936,0.025259,-0.000070,12.001885,-35.564881
0.232448,0.010340,-0.000095,12.001890,-22.759195
0.232960,0.001974,-0.000110,12.001895,-9.953510
0.233472,0.000000,-0.000135,12.001895,0.000000
0.233984,0.000000,-0.000170,12.001895,0.000000
0.234496,0.000000,-0.000190,12.001895,0.000000
0.235008,0.000000,-0.000210,12.001895,0.000000
0.235520,0.000000,-0.000230,12.001895,0.000000
0.236032,0.000000,-0.000240,12.001895,0.000000
0.236544,0.000000,-0.000245,12.001895,0.000000
0.237056,0.000000,-0.000240,12.001895,0.000000
0.237568,0.000000,-0.000225,12.001895,0.000000
0.238080,0.000000,-0.000215,12.001895,0.000000
0.238592,0.000000,-0.000200,12.001895,0.000000
0.239104,0.000000,-0.000200,12.001895,0.000000
0.239616,0.000000,-0.000200,12.001895,0.000000
0.240128,0.000000,-0.000190,12.001895,0.000000
0.240640,0.000000,-0.000175,12.001895,0.000000
0.241152,0.000000,-0.000170,12.001895,0.000000
0.241664,0.000000,-0.000170,12.001895,0.000000
0.242176,0.000000,-0.000155,12.001895,0.000000
0.242688,0.000000,-0.000150,12.001895,0.000000
0.243200,0.000000,-0.000140,12.001895,0.000000
0.243712,0.000000,-0.000130,12.001895,0.000000
0.244224,0.000000,-0.000120,12.001895,0.000000
0.244736,0.000000,-0.000110,12.001895,0.000000
0.245248,0.000000,-0.000110,12.001895,0.000000
0.245760,0.000000,-0.000100,12.001895,0.000000
0.246272,0.000000,-0.000095,12.001895,0.000000
0.246784,0.000000,-0.000095,12.001895,0.000000
0.247296,0.000000,-0.000085,12.001895,0.000000
0.247808,0.000000,-0.000085,12.001895,0.000000
0.248320,0.000000,-0.000085,12.001895,0.000000
0.248832,0.000000,-0.000090,12.001895,0.000000
0.249344,0.000000,-0.000090,12.001895,0.000000
0.249856,0.000000,-0.000090,12.001895,0.000000
0.250368,0.000000,-0.000090,12.001895,0.000000
0.250880,0.000000,-0.000090,12.001895,0.000000
0.251392,0.000000,-0.000100,12.001895,0.000000
0.251904,0.000000,-0.000100,12.001895,0.000000
0.252416,0.000000,-0.000105,12.001895,0.000000
0.252928,0.000000,-0.000110,12.001895,0.000000
0.253440,0.000000,-0.000110,12.001895,0.000000
0.253952,0.000000,-0.000115,12.001895,0.000000
0.254464,0.000000,-0.000125,12.001895,0.000000
0.254976,0.000000,-0.000130,12.001895,0.000000
0.255488,0.000000,-0.000140,12.001895,0.000000
0.256000,0.000000,-0.000150,12.001895,0.000000
0.256512,0.000000,-0.000155,12.001895,0.000000
0.257024,0.000000,-0.000155,12.001895,0.000000
0.257536,0.000000,-0.000165,12.001895,0.000000
0.258048,0.000000,-0.000170,12.001895,0.000000
0.258560,0.000000,-0.000180,12.001895,0.000000
0.259072,0.000000,-0.000185,12.001895,0.000000
0.259584,0.000000,-0.000205,12.001895,0.000000
0.260096,0.000000,-0.000205,12.001895,0.000000
0.260608,0.000000,-0.000210,12.001895,0.000000
0.261120,0.000000,-0.000220,12.001895,0.000000
0.261632,0.000000,-0.000225,12.001895,0.000000
0.262144,0.000000,-0.000235,12.001895,0.000000
0.262656,0.000000,-0.000245,12.001895,0.000000
0.263168,0.000000,-0.000255,12.001895,0.000000
0.263680,0.000000,-0.000260,12.001895,0.000000
0.264192,0.000000,-0.000260,12.001895,0.000000
0.264704,0.000000,-0.000265,12.001895,0.000000
0.265216,0.000000,-0.000270,12.001895,0.000000
0.265728,0.000000,-0.000275,12.001895,0.000000
0.266240,0.000000,-0.000265,12.001895,0.000000
0.266752,0.000000,-0.000265,12.001895,0.000000
0.267264,0.000000,-0.000260,12.001895,0.000000
0.267776,0.000000,-0.000260,12.001895,0.000000
0.268288,0.000000,-0.000260,12.001895,0.000000
0.268800,0.000000,-0.000255,12.001895,0.000000
0.269312,0.000000,-0.000245,12.001895,0.000000
0.269824,0.000000,-0.000240,12.001895,0.000000
0.270336,0.000000,-0.000235,12.001895,0.000000
0.270848,0.000000,-0.000230,12.001895,0.000000
0.271360,0.000000,-0.000220,12.001895,0.000000
0.271872,0.000000,-0.000220,12.001895,0.000000
0.272384,0.000000,-0.000215,12.001895,0.000000
0.272896,0.000000,-0.000210,12.001895,0.000000
0.273408,0.000000,-0.000200,12.001895,0.000000
0.273920,0.000000,-0.000200,12.001895,0.000000
