Period (s),ActualVelocity (mm/s)
0.377856,0.000000
0.378368,0.000000
0.378880,0.000000
0.379392,0.000000
0.379904,0.000000
0.380416,0.000000
0.380928,0.000000
0.381440,0.000000
0.381952,0.000000
0.382464,0.000000
0.382976,0.000000
0.383488,0.000000
0.384000,0.000000
0.384512,-0.097656
0.385024,-0.097656
0.385536,0.000000
0.386048,0.000000
0.386560,0.000000
0.387072,0.000000
0.387584,0.000000
0.388096,0.000000
0.388608,0.000000
0.389120,-0.097656
0.389632,0.000000
0.390144,0.000000
0.390656,0.000000
0.391168,0.000000
0.391680,-0.097656
0.392192,0.000000
0.392704,0.000000
0.393216,0.000000
0.393728,0.000000
0.394240,0.000000
0.394752,0.000000
0.395264,0.000000
0.395776,0.000000
0.396288,0.000000
0.396800,0.000000
0.397312,0.000000
0.397824,0.000000
0.398336,0.000000
0.398848,0.000000
0.399360,0.000000
0.399872,0.000000
0.400384,0.000000
0.400896,0.097656
0.401408,0.000000
0.401920,0.000000
0.402432,0.000000
0.402944,0.000000
0.403456,0.097656
0.403968,0.000000
0.404480,0.000000
0.404992,0.000000
0.405504,0.000000
0.406016,0.000000
0.406528,0.000000
0.407040,0.000000
0.407552,0.000000
0.408064,0.000000
0.408576,0.000000
0.409088,0.000000
0.409600,0.000000
0.410112,0.000000
0.410624,0.000000
0.411136,0.000000
0.411648,0.000000
0.412160,0.000000
0.412672,0.000000
0.413184,0.000000
0.413696,0.000000
0.414208,0.000000
0.414720,0.000000
0.415232,0.000000
0.415744,0.000000
0.416256,0.000000
0.416768,0.000000
0.417280,0.000000
0.417792,0.000000
0.418304,0.000000
0.418816,0.000000
0.419328,0.000000
0.419840,0.000000
0.420352,0.000000
0.420864,0.000000
0.421376,0.000000
0.421888,0.000000
0.422400,0.000000
0.422912,0.000000
0.423424,0.000000
0.423936,0.000000
0.424448,0.000000
0.424960,-0.097656
0.425472,0.000000
0.425984,0.000000
0.426496,0.000000
0.427008,0.000000
0.427520,0.000000
0.428032,0.000000
0.428544,0.000000
0.429056,0.000000
0.429568,0.000000
0.430080,0.000000
0.430592,0.000000
0.431104,0.000000
