Period (s),ActualPosition (mm),Gate,Trigger
0.111206,12.474585,0,0
0.111411,12.475605,0,0
0.111616,12.476625,0,0
0.111821,12.477635,0,0
0.112026,12.478660,0,0
0.112230,12.479695,0,0
0.112435,12.480740,0,0
0.112640,12.481790,0,0
0.112845,12.482835,0,0
0.113050,12.483840,0,0
0.113254,12.484855,0,0
0.113459,12.485880,0,0
0.113664,12.486895,0,0
0.113869,12.487915,0,0
0.114074,12.488935,0,0
0.114278,12.489945,0,0
0.114483,12.490955,0,0
0.114688,12.491970,0,0
0.114893,12.492995,0,0
0.115098,12.494010,0,0
0.115302,12.495040,0,0
0.115507,12.496045,0,0
0.115712,12.497055,0,0
0.115917,12.498075,0,0
0.116122,12.499105,0,0
0.116326,12.500135,0,0
0.116531,12.501170,0,0
0.116736,12.502190,0,0
0.116941,12.503205,0,0
0.117146,12.504210,0,0
0.117350,12.505220,0,0
0.117555,12.506235,0,0
0.117760,12.507250,0,0
0.117965,12.508260,0,0
0.118170,12.509280,0,0
0.118374,12.510305,0,0
0.118579,12.511330,0,0
0.118784,12.512345,0,0
0.118989,12.513360,0,0
0.119194,12.514380,0,0
0.119398,12.515385,0,0
0.119603,12.516390,0,0
0.119808,12.517400,0,0
0.120013,12.518440,0,0
0.120218,12.519470,0,0
0.120422,12.520495,0,0
0.120627,12.521515,0,0
0.120832,12.522540,0,0
0.121037,12.523560,0,0
0.121242,12.524570,0,0
0.121446,12.525600,0,0
0.121651,12.526620,0,0
0.121856,12.527625,0,0
0.122061,12.528650,0,0
0.122266,12.529685,0,0
0.122470,12.530710,0,0
0.122675,12.531735,0,0
0.122880,12.532755,0,0
0.123085,12.533765,0,0
0.123290,12.534775,0,0
0.123494,12.535790,0,0
0.123699,12.536810,0,0
0.123904,12.537830,0,0
0.124109,12.538845,0,0
0.124314,12.539875,0,0
0.124518,12.540915,0,0
0.124723,12.541950,0,0
0.124928,12.542970,0,0
0.125133,12.543995,0,0
0.125338,12.545015,0,0
0.125542,12.546030,0,0
0.125747,12.547050,0,0
0.125952,12.548080,0,0
0.126157,12.549095,0,0
0.126362,12.550115,0,0
0.126566,12.551135,0,0
0.126771,12.552160,0,0
0.126976,12.553175,0,0
0.127181,12.554190,0,0
0.127386,12.555215,0,0
0.127590,12.556215,0,0
0.127795,12.557215,0,0
0.128000,12.558230,0,0
0.128205,12.559260,0,0
0.128410,12.560295,0,0
0.128614,12.561340,0,0
0.128819,12.562380,0,0
0.129024,12.563405,0,0
0.129229,12.564405,0,0
0.129434,12.565440,0,0
0.129638,12.566455,0,0
0.129843,12.567465,0,0
0.130048,12.568480,0,0
0.130253,12.569505,0,0
0.130458,12.570525,0,0
0.130662,12.571535,0,0
0.130867,12.572550,0,0
0.131072,12.573570,0,0
0.131277,12.574590,0,0
0.131482,12.575605,0,0
0.131686,12.576605,0,0
0.131891,12.577630,0,0
0.132096,12.578655,0,0
0.132301,12.579685,0,0
0.132506,12.580720,0,0
0.132710,12.581750,0,0
0.132915,12.582775,0,0
0.133120,12.583785,0,0
0.133325,12.584795,0,0
