Period (s),PositionError (mm),CommandedVelocity (mm/s),ActivityStatusRegister,PhasingInitialized,AtMaximumVelocity,Tracking,CurrentProfileMode,AxisSettled,MotorOn,PositionCapture,InMotion,InPositiveLimit,InNegativeLimit,ProfileSegment
0.159232,-0.000235,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.159744,-0.000240,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.160256,-0.000235,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.160768,-0.000220,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.161280,-0.000195,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.161792,-0.000160,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.162304,-0.000210,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.162816,-0.000225,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.163328,-0.000215,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.163840,-0.000210,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.164352,-0.000190,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.164864,-0.000200,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.165376,-0.000175,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.165888,-0.000185,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.166400,-0.000205,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.166912,-0.000200,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
0.167424,-0.000175,4.989125,34067,1,1,0,2,0,1,0,1,0,0,4
