Period (s),CommandedVelocity (mm/s),PositionError (mm),PhaseAActualCurrent (mA)
0.171008,4.989125,-0.000190,-86.762000
0.171520,4.989125,-0.000190,-81.874000
0.172032,4.989125,-0.000160,-86.762000
0.172544,4.989125,-0.000190,-74.542000
0.173056,4.989125,-0.000200,-69.654000
0.173568,4.989125,-0.000185,-78.208000
0.174080,4.989125,-0.000180,-74.542000
0.174592,4.989125,-0.000205,-69.654000
0.175104,4.989125,-0.000205,-75.764000
0.175616,4.989125,-0.000200,-84.318000
0.176128,4.989125,-0.000195,-78.208000
0.176640,4.989125,-0.000220,-72.098000
0.177152,4.989125,-0.000235,-69.654000
0.177664,4.989125,-0.000255,-72.098000
0.178176,4.989125,-0.000260,-75.764000
0.178688,4.989125,-0.000295,-65.988000
0.179200,4.989125,-0.000310,-72.098000
0.179712,4.989125,-0.000295,-78.208000
0.180224,4.989125,-0.000310,-74.542000
0.180736,4.989125,-0.000355,-63.544000
0.181248,4.989125,-0.000375,-62.322000
0.181760,4.989125,-0.000395,-68.432000
0.182272,4.989125,-0.000410,-68.432000
0.182784,4.989125,-0.000440,-68.432000
0.183296,4.989125,-0.000435,-63.544000
0.183808,4.989125,-0.000415,-69.654000
0.184320,4.989125,-0.000425,-65.988000
0.184832,4.989125,-0.000485,-56.212000
0.185344,4.989125,-0.000490,-63.544000
0.185856,4.989125,-0.000485,-65.988000
0.186368,4.989125,-0.000495,-59.878000
0.186880,4.989125,-0.000490,-63.544000
0.187392,4.989125,-0.000505,-59.878000
0.187904,4.989125,-0.000495,-63.544000
0.188416,4.989125,-0.000525,-56.212000
0.188928,4.989125,-0.000540,-59.878000
0.189440,4.989125,-0.000515,-65.988000
0.189952,4.989125,-0.000495,-59.878000
0.190464,4.989125,-0.000510,-59.878000
0.190976,4.989125,-0.000505,-57.434000
0.191488,4.989125,-0.000490,-62.322000
0.192000,4.989125,-0.000470,-69.654000
0.192512,4.989125,-0.000485,-57.434000
0.193024,4.989125,-0.000485,-57.434000
0.193536,4.989125,-0.000475,-63.544000
0.194048,4.989125,-0.000465,-59.878000
0.194560,4.989125,-0.000485,-59.878000
0.195072,4.989125,-0.000490,-57.434000
0.195584,4.989125,-0.000460,-68.432000
0.196096,4.989125,-0.000440,-68.432000
0.196608,4.989125,-0.000455,-59.878000
0.197120,4.989125,-0.000465,-59.878000
0.197632,4.989125,-0.000445,-62.322000
0.198144,4.989125,-0.000440,-57.434000
0.198656,4.989125,-0.000430,-65.988000
0.199168,4.989125,-0.000395,-63.544000
0.199680,4.989125,-0.000360,-65.988000
0.200192,4.989125,-0.000320,-68.432000
0.200704,4.987851,-0.000345,-65.988000
0.201216,4.980487,-0.000350,-53.768000
0.201728,4.966570,-0.000320,-59.878000
0.202240,4.946101,-0.000285,-59.878000
0.202752,4.919076,-0.000225,-53.768000
0.203264,4.885499,-0.000170,-53.768000
0.203776,4.845367,-0.000100,-50.102000
0.204288,4.798684,-0.000035,-50.102000
0.204800,4.745445,0.000010,-39.104000
0.205312,4.685652,0.000095,-47.658000
0.205824,4.619308,0.000205,-47.658000
0.206336,4.546408,0.000315,-45.214000
0.206848,4.466955,0.000405,-47.658000
0.207360,4.380949,0.000495,-39.104000
0.207872,4.288390,0.000595,-35.438000
0.208384,4.189278,0.000715,-35.438000
0.208896,4.087041,0.000785,-32.994000
0.209408,3.984806,0.000835,-29.328000
0.209920,3.882569,0.000905,-32.994000
0.210432,3.780334,0.000975,-32.994000
0.210944,3.678097,0.001010,-29.328000
0.211456,3.575861,0.001075,-32.994000
